"Position","Image Count","Price","Property Title","Location","Bedrooms and Bathrooms","Property Type","Property URL","Property Image","Company Logo","Contact Number"
27,4,"95,000 OMR","Corner Brand New Twin Villa for Sale in Al Maabila | REF 813iB","المعبيلة , مسقط, عمان","6

 

7","410 متر مربع","https://www.mawa.om/ar/sale/corner-brand-new-twin-villa-for-sale-in-al-maabila-ref-813ib-1732604427-576","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/11/ftZt22hF5r.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png","tel:+96898559936"
28,13,"172,810 OMR","3 BR + Maid’s Room Elegant Freehold Detached Villa – Hai Al Naseem",,"3

 

3","فيلا","https://www.mawa.om/ar/sale/3-br-maids-room-elegant-freehold-detached-villa-hai-al-naseem-1777183158-8439","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/04/Eg4s94iv5tcb4C9.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893389810"
29,8,"110,000 OMR","توين فيلا جديدة للبيع في الموالح مسقط","الموالح , مسقط, عمان","4

 

4","توين فيلا","https://www.mawa.om/ar/sale/a-brand-new-twin-villa-al-mawaleh-11-1630846697-5809","https://imagesmawa.b-cdn.net/public/uploads/property_image/369721630846697.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96899212998"
30,8,"103,996 OMR","شقة كبيرة بثلاث غرف نوم مع شرفة | خطة سداد على ٥ سنوات | أب تاون مسقط","مسقط - أخرى , مسقط, عمان","3

 

4","158.5 متر مربع","https://www.mawa.om/ar/sale/big-3-bhk-apartment-with-balcony-5-yrs-payment-plan-uptown-muscat-1753468353-2180","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/0sh9q0EkxU.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968096762357"
31,14,"323,282 OMR","سكن على شاطئ البحر | خطة الدفع | ذا ريزيدنسز في ماندارين أورينتال","مسقط - أخرى , مسقط, عمان","2

 

3","135.46 متر مربع","https://www.mawa.om/ar/sale/beachfront-living-payment-plan-the-residences-at-mandarin-oriental-1753185489-9857","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/BYtt3MVI0S.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968096762357"
32,10,"176,085 OMR","Dazzling Garden 3 BHK Townhouse for Sale in Wadi Zaha with Payment Plan","السيب, مسقط, عمان","3

 

4","215 متر مربع","https://www.mawa.om/ar/sale/dazzling-garden-3bhk-townhouse-for-sale-in-wadi-zaha-with-payment-plan-1753442718-4907","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/qQkmaOW3K4.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968096762357"
33,16,"160,000 OMR","فيلا طابقين منفصلة مفروشة كامل للبيع في ولاية السيب الحيل الشمالية","الحيل , مسقط, عمان","7

 

10","642 متر مربع","https://www.mawa.om/ar/sale/fyla-tabkyn-mnfsl-mfrosh-kaml-llbyaa-fy-olay-alsyb-alhyl-alshmaly-1693116488-770","https://imagesmawa.b-cdn.net/public/uploads/property_image/2023/08/bR0Apavae7USe9H.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/5G3fcvGWnZ.jpg","tel:+96890509970"
34,3,"395,000 OMR","فيلا بأربع غرف نوم ومسبح وحديقة في سانتيني سي 3 في الموج مسقط للايجار","الموج, مسقط, عمان","4

 

5","فيلا","https://www.mawa.om/ar/sale/four-bedroom-villa-with-pool-established-garden-santini-c3-al-mouj-muscat-1619943475-2439","https://imagesmawa.b-cdn.net/public/uploads/property_image/746571619943475.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96899337986"
35,3,"95,316 OMR","3 + 1 BR Freehold Apartment in Qurum – Off Plan","القرم, مسقط, عمان","3

 

4","شقة","https://www.mawa.om/ar/sale/3-1-br-freehold-apartment-in-qurum-off-plan-1739167565-6045","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/02/hP33a9U8etwI39.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96871112421"
36,12,"124,888 OMR","Luxurious and Beautiful 2 BHK Apartment for Sale in Muscat Bay(Zaha)","خليج مسقط, مسقط, عمان","2

 

2","115 متر مربع","https://www.mawa.om/ar/sale/luxurious-and-beautiful-2-bhk-apartment-for-sale-in-muscat-bayzaha-1685538882-8185","https://imagesmawa.b-cdn.net/public/uploads/property_image/2023/05/9422ngaagtPlhT5.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/5G3fcvGWnZ.jpg","tel:+96890509970"
37,11,"120,000 OMR","5 BR + Maid’s Room Villa | Prime Location – Al Qurum 20","القرم, مسقط, عمان","5

 

6","شقة","https://www.mawa.om/ar/sale/5-br-maids-room-villa-prime-location-al-qurum-20-1770787359-9856","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/02/388fqgyg01tGFk5.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893893288"
38,18,"140,000 OMR","شقة مفروشة زاوية بغرفتي نوم في الموج | إطلالة على القناة | تراس كبير","الموج, مسقط, عمان","2

 

2","126 متر مربع","https://www.mawa.om/ar/sale/furnished-corner-2bhk-apartment-in-al-mouj-canal-view-big-terrace-1753681377-3497","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/eqwStvqNjT.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968504473576"
39,20,"115,000 OMR","Great Twin Villa For Sale In Al Khoud | REF 913TA","الخوض, مسقط, عمان","4

 

5","فيلا","https://www.mawa.om/ar/sale/great-twin-villa-for-sale-in-al-khoud-ref-913ta-1722846811-7686","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/08/JMdm40DWIgZdy.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png","tel:+96892228023"
40,18,"80,000 OMR","1 BR Freehold Duplex Townhouse in Salalah | Premium Community Living",,"1

 

2","فيلا","https://www.mawa.om/ar/sale/1-br-freehold-duplex-townhouse-in-salalah-premium-community-living-1774335009-8392","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/03/K3deTym0aF63wx3.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893389810"
41,9,"85,555 OMR","1 BR Furnished Freehold Apartment Muscat Bay – Luma Residence","خليج مسقط, مسقط, عمان","1

 

2","شقة","https://www.mawa.om/ar/sale/1-br-furnished-freehold-apartment-muscat-bay-luma-residence-1774334837-5667","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/03/3S11zruTyha4Mj7.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893389810"
42,12,"145,000 OMR","فيلل للبيع بوشر / الأنصب","بوشر, مسقط, عمان","5

 

5","204 متر مربع","https://www.mawa.om/ar/sale/villas-for-sale-bawsher-al-ansab-1655290689-4237","https://imagesmawa.b-cdn.net/public/uploads/property_image/2022/06/y5upRQ8QVE.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/27z086V39k.png","tel:+96891351550"
43,7,"64,723 OMR","3 BR + Maid’s Room Freehold Off-Plan Apartment for Sale – Sohar",,"3

 

4","شقة","https://www.mawa.om/ar/sale/3-br-maids-room-freehold-off-plan-apartment-for-sale-sohar-1765946885-1205","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/12/NgQmFh76i52kXnu.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96871514513"
44,6,"155,000 OMR","للبيع فيلا 5 غرف نوم + غرفة عاملة في بوشر","بوشر, مسقط, عمان","5

 

7","480 متر مربع","https://www.mawa.om/ar/sale/for-sale-villa-5-bhk-1-at-bousher-1711443618-2404","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/03/1DarPmnEI7.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/nzi1390qKW.png","tel:+96897694131"
45,0,"29,500 OMR","Studio Apartment For Sale in Duqm – For All Nationalities",,"1

 

1","شقة","https://www.mawa.om/ar/sale/studio-apartment-for-sale-in-duqm-for-all-nationalities-1753772563-1887",,"https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96871514513"
46,18,"200,000 OMR","Four bedroom twin villa, Al Ansab","الانصب, مسقط, عمان","4

 

4","توين فيلا","https://www.mawa.om/ar/sale/four-bedroom-twin-villa-al-ansab-1698731437-7507","https://imagesmawa.b-cdn.net/public/uploads/property_image/2023/10/K9t66yV3v2mz8yr.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96822057800"
47,12,"130,000 OMR","Two Bedroom Apartment in First Floor | Muscat Hills, Oman","مسقط هيلز, مسقط, عمان","2

 

2","شقة","https://www.mawa.om/ar/sale/two-bedroom-apartment-in-first-floor-muscat-hills-oman-1617522116-1414","https://imagesmawa.b-cdn.net/public/uploads/property_image/839941617522116.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96892044435"
48,3,"29,325 OMR","34.5 SQM New Off plan Shop in Ghala","غلاء الصناعية , مسقط, عمان",,"محل","https://www.mawa.om/ar/sale/345-sqm-new-off-plan-shop-in-ghala-1738488372-407","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/02/8tEjdEk9jTck69.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96872349997"
49,3,"104,160 OMR","2 BR + Maid’s Room Offplan Freehold Apartment in Muscat Hills","مسقط هيلز, مسقط, عمان","2

 

3","شقة","https://www.mawa.om/ar/sale/2-br-maids-room-offplan-freehold-apartment-in-muscat-hills-1753769958-6306","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/1gnQ6rzSm5IT2AL.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893893443"
50,13,"612,794 OMR","أكبر شقة بثلاث غرف نوم + غرفة خادمة في سانت ريجيس الموج | إطلالة على الجولف | خطة سداد ميسرة","الموج, مسقط, عمان","3

 

5","283 متر مربع","https://www.mawa.om/ar/sale/biggest-3brmaids-in-st-regis-al-mouj-golf-view-easy-payment-plan-1753328168-2856","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/L82lGFFeCi.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968096762357"
